Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
은퇴 자금 마련,2016-01-31, 66519.29836882155 , 66519.29836882155 , 66486.03871963714 , 66486.03871963714 , 66519.29836882155 , 66519.29836882155 ,,,
은퇴 자금 마련,2016-02-29, 66519.29836882155 , 133141.44518038537 , 132695.93696495326 , 133129.2581191748 , 133204.89498356514 ," 133,757 ",,,
은퇴 자금 마련,2016-03-31, 66519.29836882155 , 205864.28235770928 , 207935.4110481513 , 205110.2068056099 , 200057.2055898456 , 201722.1445574765 ,,,
은퇴 자금 마련,2016-04-30, 66519.29836882155 , 272528.54843502876 , 274977.5518741397 , 271412.9930754988 , 267076.64697264176 , 270421.3120373638 ,,,
은퇴 자금 마련,2016-05-31, 66519.29836882155 , 346167.6583994264 , 345670.6378408281 , 336424.5984435488 , 334263.6369588949 , 339862.8630243959 ,,,
은퇴 자금 마련,2016-06-30, 66519.29836882155 , 413271.5577717661 , 412462.9135206158 , 400683.07656057854 , 401618.59442011366 , 410054.81993415504 ,,,
은퇴 자금 마련,2016-07-31, 66519.29836882155 , 499242.26734757796 , 493626.36283601605 , 476474.27273128164 , 469141.93927498546 , 481005.2918748172 ,,,
은퇴 자금 마련,2016-08-31, 66519.29836882155 ," 568,536 ", 559498.2104589257 ," 547,303 ", 536834.0924919944 , 552722.4755839779 ,,,
은퇴 자금 마련,2016-09-30, 66519.29836882155 , 641886.4621628115 , 625279.5885199544 , 616181.7767611544 , 604695.4760920459 , 625214.6563756015 ,,,
은퇴 자금 마련,2016-10-31, 66519.29836882155 ," 702,218 ", 679603.5147349166 , 671956.5072611363 , 672726.5131510975 ," 698,490 ",,,
은퇴 자금 마련,2016-11-30, 66519.29836882155 , 766486.7110868972 , 769297.6885162594 , 730146.3832794423 , 740927.6278027967 , 772557.5990973786 ,,,
은퇴 자금 마련,2016-12-31, 66519.29836882155 , 839297.9009354794 , 849766.2992694448 , 812423.5308610313 , 809299.2452411251 , 847425.3832037769 ,,,
은퇴 자금 마련,2017-01-31, 66519.29836882155 , 934424.2743049414 ," 931,429 ", 895357.0364420174 , 877841.7917230494 , 921056.2802745586 ,,,
은퇴 자금 마련,2017-02-28, 66519.29836882155 , 1027495.0618694354 , 1032538.802566505 , 972229.2337815154 , 946555.6945711784 , 995305.0882581018 ,,,
은퇴 자금 마련,2017-03-31, 66519.29836882155 , 1107605.2838945203 , 1098597.1666720645 , 1070556.5414322154 , 1015441.3821764278 , 1070176.9926663493 ,,,
은퇴 자금 마련,2017-04-30, 66519.29836882155 , 1194053.6114903525 , 1175043.3166356508 , 1159402.9310820412 , 1084499.2840006903 , 1145677.2225280898 ,,,
은퇴 자금 마련,2017-05-31, 66519.29836882155 , 1289652.679845555 , 1255102.5759310657 , 1300458.7203447768 , 1153729.8305795137 , 1221811.0507541518 ,,,
은퇴 자금 마련,2017-06-30, 66519.29836882155 , 1338428.5868974822 , 1327599.0187495833 , 1391493.906264365 , 1223133.453524784 , 1298583.7945056618 ,,,
은퇴 자금 마련,2017-07-31, 66519.29836882155 , 1442511.8001622893 , 1419739.349906771 , 1464274.9960012962 , 1292710.5855274175 , 1376000.8155653935 ,,,
은퇴 자금 마련,2017-08-31, 66519.29836882155 , 1526691.8889155379 , 1486965.6876030345 , 1506615.4904469165 , 1362461.6603600576 , 1454067.5207122322 ,,,
은퇴 자금 마련,2017-09-30, 66519.29836882155 , 1589343.3579814932 , 1582117.4189709618 , 1592980.8371204815 , 1432387.1128797792 , 1532789.3620987828 ,,,
은퇴 자금 마련,2017-10-31, 66519.29836882155 , 1697279.3766540072 , 1683668.139737763 , 1745194.3552909698 , 1502487.3790308002 , 1612171.8376321464 ,,,
은퇴 자금 마련,2017-11-30, 66519.29836882155 , 1789595.3900250238 , 1797393.9124719312 , 1779061.1649514856 , 1572762.8958471988 , 1692220.4913578923 ,,,
은퇴 자금 마련,2017-12-31, 66519.29836882155 , 1862351.3814361414 , 1881506.3293235712 , 1839093.551598877 , 1643214.1014556384 , 1772940.9138472518 ,,,
은퇴 자금 마련,2018-01-31, 66519.29836882155 , 2049541.1811130845 , 2053645.9177703527 , 1979268.2406320942 , 1713841.4350780991 , 1860958.8083112838 ,,,
은퇴 자금 마련,2018-02-28, 66519.29836882155 , 2118064.995455547 , 2040096.504074098 , 1938397.1154097153 , 1784645.337034616 , 1950044.0035225963 ,,,
은퇴 자금 마련,2018-03-31, 66519.29836882155 , 2155815.421865673 , 2051684.5687723525 , 2019567.7963660508 , 1855626.248746024 , 2040209.4415186245 ,,,
은퇴 자금 마련,2018-04-30, 66519.29836882155 , 2227822.9983081324 , 2123697.384081732 , 2143381.444663429 , 1926784.6127367106 , 2131468.2212713263 ,,,
은퇴 자금 마련,2018-05-31, 66519.29836882155 , 2385883.7900526947 , 2236019.9094376904 , 2131068.738662856 , 1998120.8726373739 , 2223833.6005901624 ,,,
은퇴 자금 마련,2018-06-30, 66519.29836882155 , 2473264.2732465724 , 2313277.831564146 , 2112258.7656294764 , 2069635.4731877889 , 2317318.9980481523 ,,,
은퇴 자금 마련,2018-07-31, 66519.29836882155 , 2588585.7688834523 , 2463033.9056912046 , 2150625.072169448 ," 2,141,329 ", 2411937.994931285 ,,,
은퇴 자금 마련,2018-08-31, 66519.29836882155 , 2781922.3443262754 , 2603997.6840329273 , 2242901.0378134227 ," 2,213,201 ", 2507704.337211569 ,,,
은퇴 자금 마련,2018-09-30, 66519.29836882155 , 2845102.7460062793 , 2681600.937323542 , 2328788.461468287 , 2285253.7828297187 , 2604631.937544008 ,,,
은퇴 자금 마련,2018-10-31, 66519.29836882155 , 2813652.7690910115 , 2561907.8312654905 , 2083707.5889045296 , 2357486.215655614 , 2702734.8772877883 ,,,
