날짜,코스피,PBR,배당수익률,삼성전자,,
2016-01-04,14.74,1.08,1.36,10.50,,15.61526048
2016-01-05,14.83,1.08,1.35,10.53,,14.22
2016-01-06,14.79,1.08,1.35,10.24,,
2016-01-07,14.63,1.07,1.37,10.14,,
2016-01-08,14.73,1.08,1.36,10.20,,
2016-01-11,14.55,1.06,1.38,10.04,,
2016-01-12,14.52,1.06,1.38,9.99,,
2016-01-13,14.72,1.07,1.36,10.00,,
2016-01-14,14.59,1.07,1.37,9.92,,
2016-01-15,14.43,1.05,1.39,9.87,,
2016-01-18,14.43,1.05,1.39,9.81,,
2016-01-19,14.51,1.06,1.38,10.20,,
2016-01-20,14.17,1.03,1.41,9.92,,
2016-01-21,14.13,1.03,1.42,9.86,,
2016-01-22,14.42,1.05,1.39,10.18,,
2016-01-25,14.53,1.06,1.38,10.13,,
2016-01-26,14.36,1.05,1.39,9.91,,
2016-01-27,14.56,1.06,1.37,10.24,,
2016-01-28,14.63,1.07,1.37,9.98,,
2016-01-29,14.7,1.07,1.36,10.02,,
2016-02-01,14.8,1.08,1.35,10.14,,
2016-02-02,14.66,1.07,1.37,10.07,,
2016-02-03,14.54,1.06,1.38,9.99,,
2016-02-04,14.59,1.07,1.36,10.07,,
2016-02-05,14.75,1.08,1.36,10.14,,
2016-02-11,15.17,1.05,1.4,9.85,,
2016-02-12,14.95,1.03,1.42,9.85,,
2016-02-15,15.18,1.05,1.4,10.06,,
2016-02-16,15.39,1.06,1.38,10.18,,
2016-02-17,15.35,1.06,1.38,10.33,,
2016-02-18,15.56,1.07,1.36,10.34,,
2016-02-19,15.62,1.08,1.36,10.37,,
2016-02-22,15.62,1.08,1.36,10.24,,
2016-02-23,15.6,1.08,1.36,10.29,,
2016-02-24,15.59,1.08,1.36,10.21,,
2016-02-25,15.64,1.08,1.36,10.27,,
2016-02-26,15.66,1.08,1.35,10.21,,
2016-02-29,15.63,1.08,1.36,10.27,,
2016-03-02,15.88,1.1,1.33,10.43,,
2016-03-03,15.97,1.1,1.33,10.63,,
2016-03-04,15.95,1.1,1.33,10.59,,
2016-03-07,15.83,1.1,1.33,10.66,,
2016-03-08,15.73,1.1,1.34,10.39,,
2016-03-09,15.79,1.1,1.33,10.41,,
2016-03-10,15.92,1.11,1.32,10.68,,
2016-03-11,15.93,1.11,1.32,10.88,,
2016-03-14,15.94,1.11,1.32,10.94,,
